propertyCode,floor,price,propertyType,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,status,newDevelopment,hasLift,priceByArea,topNewDevelopment,topPlus,neighborhood,formerPrice,priceChange,hasParkingSpace,isParkingSpaceIncludedInPrice
33904103,2.0,2200.0,flat,120.0,1,2,Lapa,Lisboa,Estrela,Lapa,pt,38.7037309,-9.1636458,False,https://www.idealista.pt/imovel/33904103/,"Apartamento T1+1 de charme totalmente mobilado na Lapa com vista rio. Segundo andar sem elevador. Muita luz natural. Composto por hall de entrada, sala em living-room com lareira e cozinha aberta equipada, 1 quarto bom em suite com casa de banho e closet, uma casa de banho no corredor e mais um quarto interior com janela para a sala.  Próximo de todo o comercio, serviços e transportes. Ar condicionado Tel.",good,False,False,18.0,False,False,,2200.0,0.0,False,False
33904121,,1300.0,flat,67.0,1,1,Expo Central,Lisboa,Parque das Nações,Expo Central,pt,38.7665546,-9.0979006,False,https://www.idealista.pt/imovel/33904121/,"Localizado em uma área extraordinariamente tranquila no Parque das Nações, este espaçoso apartamento de tipologia T1 destaca-se como uma oportunidade de investimento excecional. A sua característica mais notável é a abundância de luz natural e seu espaço generoso. O imóvel compreende um quarto com armários embutidos, uma sala de estar aconchegante e uma casa de banho com banheira. A sala de estar, particularmente espaçosa, é inundada de luz durante todo o dia uma vez que tem duas amplas janelas, criando um ambiente muito confortável e acolhedor. A luminosidade do espaço contribui para uma atmosfera agradável e convidativa. Além disso, este imóvel oferece comodidades valiosas, incluindo uma arrecadação e um espaço de estacionamento. Essas características adicionais tornam a vida ainda mais prática e organizada. A arrecadação oferece espaço adicional para armazenar itens diversos, enquanto o lugar de estacionamento proporciona segurança e conveniência para guardar seu veículo. Viver ou investir no Parque das Nações é uma experiência singular, uma vez que a área tem o rio Tejo como seu vizinho. Isso oferece uma qualidade de vida verdadeiramente única. Os moradores têm o privilégio de desfrutar de passeios tranquilos ao longo das margens do rio, praticar desportes aquáticos ou simplesmente apreciar a vista deslumbrante do Tejo. A localização é realmente especial e proporciona um ambiente tranquilo e ao mesmo tempo vibrante. Se procura um apartamento com esta tipologia, que oferece tranquilidade, ampla iluminação natural e um espaço generoso, este imóvel é uma opção que merece ser considerada. Ele representa o equilíbrio perfeito entre o conforto de um lar aconchegante e a conveniência de estar em uma das áreas mais desejadas de Lisboa. Não perca a oportunidade de transformar este T1 no seu refúgio pessoal no Parque das Nações. É a chance de vivenciar o melhor que esta localização tem a oferecer.",good,False,True,19.0,False,False,,1300.0,0.0,True,True
33904110,,2500.0,flat,115.0,3,2,"rua Ferreira Lapa, 2",Lisboa,Arroios,São Jorge de Arroios,pt,38.7261788,-9.1429346,True,https://www.idealista.pt/imovel/33904110/,"Apartamento T3 (4 assoalhadas) com uma área útil de 110m2 e boas áreas.  O apartamento está no R/C num bonito prédio recuperado. Tem 3 quartos, 2 casas de banho, cozinha equipada e é arrendado totalmente mobilado.  O apartamento foi remodelado com materiais de muita qualidade e bom gosto.  Possui um pequeno terraço com cerca de 20m2, Comércio e Serviços: Na proximidade, dispõe de todo o tipo de comércio e serviços (Escolas, Espaços Verdes, Farmácias, Hospitais, Pastelarias, Restaurantes, entre outros). O Saldanha encontra-se a curta distância. Condições/Documentação: - 2 meses de Renda + 2 meses de Caução - Declaração de IRS e respetiva Nota de Liquidação - 3 Últimos Recibos de Ordenado - Declaração da Entidade Patronal Se reúne as condições requeridas e procura uma casa diferenciada para viver, desfrutando das vantagens de uma boa localização, entre em contacto connosco.",good,False,False,22.0,False,False,Estefânia,2500.0,0.0,False,False
33904022,1.0,2000.0,flat,80.0,1,1,Chiado,Lisboa,Santa Maria Maior,Chiado,pt,38.7107508,-9.143634,False,https://www.idealista.pt/imovel/33904022/,"VIVA na charmosa zona do CHIADO, num edifício traça antiga renovado em localização de prestigio, com acesso fácil comércio, restaurantes e serviços. Este APARTAMENTO T1 MOBILADO combina o encanto arquitetura clássica com conforto design moderno e funcional, oferecendo estilo vida sofisticado. Aquec. central, ar cond. pequeno terraço e garagem, garantindo todo conforto e segurança.  UMA OPORTUNIDADE ÚNICA PARA VIVER NO CORAÇÃO LISBOA! TRATA 96 SEIS QUATRO CINCO SEIS SEIS NOVE CINCO  Categoria Energética: C  ref: CBT192.",good,False,True,25.0,False,False,,2000.0,0.0,True,True
33903919,3.0,1500.0,flat,83.0,1,1,avenida Dom João II,Lisboa,Parque das Nações,Expo Central,pt,38.7727379,-9.0987844,False,https://www.idealista.pt/imovel/33903919/,"T1 | Garagem | Arrecadação | Condomínio Panoramic | Parque das Nações Apartamento T1 situado no Condomínio Panoramic no Parque das Nações, uma referência de luxo e conforto, com um lugar de estacionamento e arrecadação. Apresenta orientação solar sul e é composto por ampla sala com muita luminosidade, um quarto com roupeiro embutido, uma casa de banho e cozinha totalmente equipada com eletrodomésticos AEG. Próximo do centro comercial Vasco da Gama, MEO Arena, Oceanário de Lisboa, Pavilhão do Conhecimento e Casino de Lisboa. Perto de supermercados, restaurantes, escolas, hospitais, farmácias e todo o tipo de comércio e serviços. Junto à estação de metro e de comboios do Oriente, autocarros e com facilidade de acessos rodoviários. Venha visitar! **Autorização de Utilização nº 425/UT/2009 emitida a 2009/09/24 pela Câmara Municipal de Lisboa**.",good,False,True,18.0,False,False,,1500.0,0.0,True,True
33847123,1.0,1550.0,flat,85.0,2,1,rua Silva Carvalho,Lisboa,Campo de Ourique,Santa Isabel,pt,38.7169783,-9.1626973,False,https://www.idealista.pt/imovel/33847123/,"T2 em Campo de Ourique com 2 varandas grandes.  O apartamento tem dois quartos grandes, com varanda. O apartamento teve obras recentemente e neste momento, tem a cozinha aberta para a sala. A cozinha está equipada com exaustor, placa, forno e termo acumulador.  A casa de banho tem janela e após as obras, tem base de duche.  Janelas com vidro duplo e estores térmicos. Pavimento em tacos de madeira.  O prédio tem elevador.  Junto à escola O Grémio e a dois minutos do Jardim da Estrela. As fotos apresentadas são antes do apartamento ter sido remodelado. As áreas mencionadas são aproximadas. CE - C.",good,False,True,18.0,False,False,,1550.0,0.0,False,False
33903763,1.0,2000.0,flat,80.0,1,1,"rua Dom Pedro V, 117",Lisboa,Misericórdia,Príncipe Real - São Bento,pt,38.7160046,-9.1472968,True,https://www.idealista.pt/imovel/33903763/,"Bem-vindo ao apartamento de 1 quarto no Príncipe Real! Localizado em um dos bairros mais vibrantes e charmosos de Lisboa, o Príncipe Real foi destacado pela revista Time Out como um dos 10 bairros mais ""cool"" do mundo. Este apartamento está completamente decorado e equipado, pronto para recebê-lo com todo o conforto. A disposição do espaço é moderna e funcional, com uma cozinha integrada à sala de estar, criando um ambiente perfeito para momentos de convívio e descontração. No coração de Lisboa, perto de tudo. Morar aqui é ter à porta uma infinidade de opções. Restaurantes para todos os gostos e bolsos estão ao lado – desde bistrôs aconchegantes até premiados restaurantes Michelin. O Jardim do Príncipe Real, a poucos passos, é o lugar ideal para passeios tranquilos, feiras locais ou um simples momento ao ar livre. Mercearias com frutas e legumes frescos, além de supermercados próximos, garantem praticidade para o dia a dia. Cultura, lazer e vistas de tirar o fôlego. Saindo do apartamento, você estará cercado por teatros renomados como o Tivoli e o São Jorge, além de icônicas salas de concerto como o Coliseu de Lisboa e o Capitólio. O Miradouro de São Pedro de Alcântara, com sua vista espetacular, é o local perfeito para apreciar o pôr do sol ou relaxar após um dia de passeio. A poucos minutos, você encontrará a Praça dos Restauradores, Praça do Comércio, Elevador de Santa Justa, Ribeira das Naus e muitos outros pontos emblemáticos da cidade. Sem contar os diversos rooftops que oferecem vistas deslumbrantes e uma experiência única de Lisboa. O melhor de Lisboa, ao seu alcance. Este apartamento não é apenas um espaço para morar, mas uma oportunidade de viver intensamente tudo o que Lisboa tem a oferecer.",good,False,True,25.0,False,False,,2000.0,0.0,True,True
33511410,2.0,1200.0,flat,80.0,2,1,"rua Braamcamp Freire, 4",Lisboa,Penha de França,Alto de São João - Alto do Varejão,pt,38.7255107,-9.1192506,True,https://www.idealista.pt/imovel/33511410/,"Apartamento T2, amplo, está disponível para arrendamento a partir de 01 de Março, e oferece tudo o que precisa para viver confortavelmente. A sala tem acesso a uma varanda, perfeita para relaxar após um longo dia. A cozinha está equipada com FOFÃO, EXAUSTOR e ESQUENTADOR e tem acesso a uma marquise. Os dois quartos são espaçosos, um deles com roupeiro, e a casa de banho tem base de duche e janela. Os pavimentos em tacos envernizados e as janelas de alumínio branco com vidro duplo, garantem um ambiente acolhedor e tranquilo. A zona social está separada da zona privada, proporcionando privacidade e conforto. Os quartos têm 18 e 20m2, respectivamente. Inserido em um prédio de placa dos anos 60, no segundo andar SEM ELEVADOR, o imóvel tem colunas de água, luz e gás novas. Localizado na Rua Braancamp Freire, próximo a todo o tipo de comércio e serviços, e com autocarros para todo o local de Lisboa, tem bons acessos para entrar e sair de Lisboa. Agende já a sua visita e venha conhecer o seu novo lar!",good,False,False,15.0,False,False,,1200.0,0.0,False,False
33903911,4.0,1200.0,flat,47.0,1,1,São Vicente de Fora,Lisboa,São Vicente,São Vicente de Fora,pt,38.7126417,-9.1309462,False,https://www.idealista.pt/imovel/33903911/,"Encantador apartamento T1 de 47m2 localizado no bairro histórico de São Vicente. Localizado no 4º andar sem elevador de um edifício completamente remodelado em 2017 de estilo pombalino. Ele esta composto por: - Uma cozinha totalmente equipada, aberta para uma sala acolhedora que tem uma vista para o rio.  - Um quarto com roupeiros embutidos; - Uma casa de banho com duche italiano e janela; Alugado totalmente mobilado, este apartamento oferece uma vista para o centro de Lisboa e para o rio Tejo. O apartamento esta equipado com ar-condicionado, e tem bastante arrumação.  Idealmente localizado, a apenas 5 minutos a pé da estação de elétrico de São Vicente (linhas 12E, 28E), oferece acesso fácil a todas as atrações do centro da cidade. Além disso, está perfeitamente servido por uma vasta rede de transportes públicos (autocarros, barcos, metros e comboios) e rodeado por numerosas lojas. São Vicente, bairro histórico de Lisboa, é conhecido pelo seu charme autêntico, pelas suas ruas pitorescas e pela sua vida cultural vibrante. Com as suas vistas panorâmicas sobre o rio Tejo, os seus festivais animados e as suas comodidades acessíveis, São Vicente oferece uma experiência de vida única na capital portuguesa. As condições de aluguer incluem 2 meses de caução e um fiador. Sendo uma construção anterior a 1951, este apartamento está isento de licença de utilização. Não perca esta oportunidade única! Contacte-me agora para mais informações. Falo francês, inglês, português e espanhol. ref: 133496 Licença de utilização: Isento.",good,False,,26.0,False,False,,1200.0,0.0,False,False
33903863,2.0,2500.0,flat,88.0,2,2,Centro,Lisboa,Campo de Ourique,Centro,pt,38.7181649,-9.1679281,False,https://www.idealista.pt/imovel/33903863/,"Apartamento num dos bairros mais emblemáticos de Lisboa e numa praceta residencial muito calma, inserido num prédio com 4 andares, sendo um 2ºandar com 2 elevadores este fantástico Apartamento esta disponível para arrendamento.  Apartamento T2 mobilado e equipado, localizado em Campo de Ourique, com vista para Monsanto (poente) e para uma ampla praceta residencial (nascente). Apartamento com uma área generosa, constituído por: Hall de entrada com roupeiro; Cozinha em open space, com bancada para a sala de jantar, completamente equipada com placa de indução, exaustor, forno, micro-ondas, combinado frigorifico/congelador, máquina de lavar louça, máquina de lavar roupa, TV e outros pequenos aparelhos domésticos como máquina de café, batedeira, robô de cozinha, varinha mágica etc;  Sala de estar, aberta para cozinha e sala de jantar;  Casa de banho social, com duche; 2 Quartos com roupeiros embutidos e varanda;  Características do imóvel:  Ar condicionado em todas as divisões;  Teto falso em todas as divisões com exceção dos 2 quartos com varandas;  Toda a iluminação é LED;  Janelas de caixilharia branca, com vidros duplos e oscilo-batente;  Contadores de água e de eletricidade instalados do lado de fora do apartamento; Dada a sua excelente localização, é-lhe garantido um local que proporciona bem-estar e centralidade, próximo a comércio local, serviços, áreas de lazer infantil, transportes públicos e com acesso rápido a todos os principais eixos rodoviários. Ficou com duvidas? Não hesite em contactar-nos! AliasHouse - Real Estate dispõe de uma equipa que pode ajudá-lo com rigor e confiança em todo o processo de compra, venda ou arrendamento do seu imóvel. Deixe-nos o seu contacto e nós ligamos-lhe sem custos! Este anúncio foi publicado por rotina informática. Todos os dados carecem de confirmação junto da imobiliária. .  Categoria Energética: C  ref: AH2504-AD.",good,False,True,28.0,False,False,,2500.0,0.0,False,False
